,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
215583,107,89,84,-3.41797,3.90625,1020.01953,2.31298,-2.68702,-0.11450,-46.50000,-20.55000,10.20000,40.52734,416.99219,907.22656,-0.57252,0.57252,1.19084,16.05000,-75.90000,56.40000,-1.95312,-196.28906,1002.92969,-0.27481,-0.82443,-0.12977,-20.55000,42.00000,19.05000,
220583,107,89,78,-13.67187,4.88281,1023.43750,0.91603,-1.31298,1.16794,-46.50000,-20.55000,10.20000,34.17969,415.03906,916.50391,0.58779,0.71756,2.38931,16.05000,-75.90000,56.40000,-4.88281,-200.68359,997.07031,-0.66412,3.55725,0.01527,-20.55000,42.00000,19.05000,
225582,111,88,75,-15.13672,9.76562,1018.06641,-2.19084,1.00000,-3.25191,-45.75000,-20.85000,9.90000,41.99219,416.50391,922.85156,0.24427,-0.61832,-0.31298,16.05000,-75.90000,56.40000,2.92969,-193.35937,994.14062,0.26718,-0.03817,3.22137,-20.55000,42.00000,19.05000,
230581,107,89,79,-13.67187,-5.85937,1024.90234,-0.47328,0.70229,-2.51145,-45.75000,-20.85000,9.90000,33.20313,418.94531,923.33984,0.78626,2.11450,-3.18321,16.05000,-75.90000,56.40000,-8.30078,-182.61719,1003.41797,-1.71756,0.37405,1.61832,-20.55000,42.00000,19.05000,
235582,111,93,82,-11.71875,-3.41797,1014.16016,-0.29771,-0.03817,0.49618,-45.00000,-19.80000,11.55000,35.64453,417.96875,926.75781,-0.13740,0.48092,-1.00000,16.20000,-75.75000,57.00000,-4.88281,-189.45312,1005.85937,0.88550,0.07634,-1.22137,-20.55000,43.50000,19.05000,
240586,108,89,75,-10.74219,3.41797,1012.69531,1.67939,-0.35115,0.17557,-45.00000,-19.80000,11.55000,32.22656,426.75781,918.45703,0.34351,-0.58779,-4.66412,16.20000,-75.75000,57.00000,-9.76562,-198.24219,999.02344,1.70992,-1.22137,-1.08397,-20.55000,43.50000,19.05000,
245589,107,88,75,-17.08984,-1.46484,1021.97266,-1.61832,2.53435,-2.61832,-45.00000,-19.80000,11.55000,30.76172,418.94531,926.75781,0.80916,-0.69466,-0.20611,15.30000,-75.90000,54.30000,0.97656,-195.31250,999.51172,-1.26718,-1.38168,1.57252,-21.75000,43.20000,19.20000,
250592,109,88,73,-4.88281,3.90625,1012.20703,-0.23664,2.44275,-2.64885,-45.00000,-19.80000,11.55000,41.99219,415.52734,918.94531,2.32824,1.84733,3.51145,15.30000,-75.90000,54.30000,-4.88281,-181.64062,1010.25391,1.00763,0.24427,-1.00763,-21.75000,43.20000,19.20000,
255594,105,91,79,-10.74219,7.81250,1031.25000,2.04580,-1.88550,-0.09924,-45.60000,-20.70000,10.05000,26.36719,426.26953,919.43359,1.23664,0.06107,-1.60305,15.60000,-77.40000,56.10000,-12.20703,-187.98828,1004.88281,-1.32061,1.68702,-3.79389,-22.20000,42.90000,19.95000,
260594,110,92,83,-10.74219,-1.46484,1021.48437,0.54198,-2.78626,-1.77099,-45.60000,-20.70000,10.05000,33.69141,407.71484,914.55078,0.57252,0.71756,1.02290,15.60000,-77.40000,56.10000,-4.39453,-198.24219,1006.34766,-0.87023,3.36641,-0.14504,-22.20000,42.90000,19.95000,
