Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
415684,-31.25,1.46484,1030.76172,-13.67187,8.78906,1014.64844,-15.625,-62.98828,1024.41406
420684,-6.83594,0.48828,1019.04297,-8.78906,-0.97656,1023.92578,-20.01953,-65.91797,1022.46094
425684,-16.11328,4.39453,1020.50781,-6.34766,-1.46484,1014.64844,-5.85937,-59.57031,1019.53125
430684,-16.11328,4.88281,1006.34766,-10.25391,1.46484,1024.90234,-7.32422,-62.5,1018.06641
435684,-17.08984,-3.41797,1024.90234,-11.23047,-3.41797,1010.25391,-1.46484,-72.26563,1013.67187
440683,-8.30078,0.48828,1013.67187,-13.18359,5.85937,1020.01953,-7.32422,-58.59375,1023.92578
445686,-4.88281,-6.34766,1028.32031,-16.60156,-2.92969,1006.83594,7.32422,-66.89453,1020.50781
450694,-14.64844,-6.34766,1009.76562,-20.01953,17.08984,1017.08984,-9.27734,-61.03516,1016.60156
455703,-19.53125,13.18359,1012.20703,-11.23047,-2.92969,1018.55469,-9.76562,-55.66406,1014.16016
460706,-17.08984,6.83594,1025.87891,0.48828,-7.8125,1021.97266,-4.39453,-59.08203,1022.46094
465711,-23.92578,5.85937,1022.94922,1.95312,-2.44141,1024.90234,-14.16016,-63.47656,1034.66797
470723,-13.67187,11.23047,1022.94922,-9.76562,14.16016,1016.11328,-11.23047,-62.98828,1025.39063
475728,-11.23047,5.85937,1018.55469,-6.34766,8.78906,1009.76562,-3.90625,-63.96484,1019.04297
480736,-6.34766,9.27734,1017.57812,-14.64844,-4.39453,1008.78906,-9.76562,-60.54688,1006.34766
485745,-20.50781,6.34766,1019.04297,-6.34766,18.55469,1011.71875,-2.44141,-62.01172,1010.74219
490754,-22.94922,1.95312,1014.64844,-7.8125,5.37109,1021.97266,-17.08984,-70.80078,1027.34375
495762,-17.08984,-3.90625,1018.06641,-13.67187,3.41797,1030.27344,-4.88281,-67.38281,1027.34375
500768,-8.78906,10.74219,1016.11328,-10.74219,-0.48828,1008.30078,-1.95312,-66.40625,1030.76172
505770,-0.48828,9.27734,1014.16016,-1.46484,-1.95312,1016.11328,-5.85937,-71.28906,1014.64844
510773,-17.57813,8.30078,1029.29688,-3.90625,-7.8125,1011.71875,-16.60156,-67.38281,1013.67187
