IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-832.03125,119.14063,-521.48437,-0.061019852,0.004529828,-0.007327765,-13.5,27.9,13.65,-140.13672,-120.11719,984.86328,-0.039036732,0.026512948,-0.021849951,75.3,-0.75,87.15,-930.17578,-49.80469,383.30078,0.087799312,0.058488601,0.011058232,60.75,17.1,10.95
-854.00391,124.51172,-532.22656,0.02584693,0.03663865,0.015588059,-14.1,31.35,13.95,-127.92969,-119.62891,993.65234,-0.050361476,0.027045971,-0.052759558,75.3,-0.75,87.15,-943.35937,-61.03516,391.11328,0.045032113,0.072078084,0.03144263,60.6,15.9,9.45
-848.14453,118.16406,-529.78516,-0.004130147,-0.035572777,0.014522187,-15.9,29.85,13.2,-134.27734,-122.07031,984.375,-0.030243414,0.157479313,-0.025180738,74.85,-1.65,88.05,-939.45312,-48.82813,375.97656,0.082203612,0.102854522,-0.001998402,60,17.55,8.85
-841.30859,122.55859,-532.71484,-0.076741255,0.048496242,0.039303244,-13.95,29.7,12.3,-161.13281,-127.44141,985.83984,0.005862212,0.108317053,-0.020784079,75.9,-0.45,88.05,-930.17578,-38.57422,380.85937,0.103254202,0.031176118,0.011058232,60.15,16.65,8.7
-828.125,118.16406,-534.66797,-0.046631009,-0.002398082,0.02158344,-15.9,29.55,13.95,-139.16016,-149.90234,991.21094,-0.052626389,0.151217421,-0.002797937,75.3,-0.3,87.9,-948.24219,-59.57031,380.85937,0.126569707,-0.003597298,0.053558919,60.15,16.65,8.7
-822.75391,108.88672,-539.0625,-0.076474743,0.051427174,-0.002931106,-15.9,29.55,13.95,-154.78516,-134.76562,1005.37109,0.010392039,0.091263441,-0.009992359,73.95,-2.25,88.95,-918.94531,-23.4375,373.04687,0.141225062,0.022782481,0.015321547,60.15,16.65,9.45
-825.19531,108.88672,-538.57422,-0.086866782,0.065416511,-0.003330786,-14.55,29.4,14.1,-174.80469,-133.78906,1011.71875,0.038104203,0.056090344,-0.031176118,75.9,-0.45,89.85,-958.49609,-37.10938,375.48828,0.130300173,0.075675382,0.013589657,60.15,16.65,9.45
-832.03125,118.16406,-548.33984,-0.034107224,0.038503883,0.032108648,-15.9,29.25,14.25,-155.27344,-129.39453,984.86328,-0.0055957,0.061686044,-0.051427174,76.5,-0.3,87.9,-948.24219,-57.12891,395.99609,0.136029042,0.050627813,-0.03317452,60.75,16.35,8.85
-826.17187,109.86328,-557.12891,-0.065149999,0.104186906,-0.005329188,-13.5,29.4,14.4,-168.45703,-109.86328,984.375,-0.03797086,0.087266463,-0.024114865,76.5,-0.3,87.9,-953.61328,-49.80469,381.34766,0.1068515,-0.002264914,-0.000799361,58.95,16.35,9.9
-818.84766,115.72266,-553.71094,-0.043699903,0.116177667,-0.038903564,-15.9,30.6,13.5,-174.31641,-154.78516,971.67969,-0.020517567,0.073010788,-0.013056634,76.8,-1.5,88.35,-959.96094,-22.46094,372.55859,0.064750319,0.035306265,-0.020384398,60.3,16.35,9.9
-828.125,120.11719,-556.15234,0.042500687,0.055290984,-0.011457912,-15.9,30.6,13.5,-165.52734,-160.64453,993.16406,-0.032508503,0.083535996,-0.035839289,75.15,-1.95,88.5,-969.72656,-29.29688,390.625,0.141758085,-0.083935676,-0.018519165,61.35,17.1,8.85
-810.54687,140.625,-556.15234,-0.029577397,0.065949535,-0.011857592,-14.1,30.6,14.25,-176.75781,-126.95313,1009.76562,-0.028644693,0.092062802,0.022516144,75.75,-1.5,88.35,-950.19531,-46.875,409.17969,0.195050492,-0.036238969,-0.064750319,62.25,15.9,11.55
-813.47656,148.4375,-568.84766,-0.025313906,0.055823833,0.020384398,-13.95,29.7,14.1,-158.20312,-135.74219,1010.25391,-0.073943317,0.029843734,-0.036105626,75.3,-2.55,88.65,-974.60937,-57.61719,390.625,0.120307814,-0.089797888,-0.02065091,60.3,16.05,9.3
