IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-832.51953,137.69531,-540.52734,0.045565136,0.08060489,-0.021716608,-13.05,29.85,13.5,-414.0625,36.13281,906.25,0.04183467,0.057422729,-0.13922666,85.65,4.95,75.6,-920.41016,79.58984,387.69531,0.19278557851678965,-0.15041806,0.061419532641082054,59.7,25.65,10.95
-839.84375,142.08984,-525.87891,0.069013809,-0.001732065,0.013722825776730615,-14.55,29.4,14.4,-397.94922,62.5,919.43359,0.032375159492794015,0.03104295,-0.130300173,85.65,4.95,75.6,-932.12891,70.3125,395.01953,0.1942511314896893,-0.095526757,0.07540887,59.25,23.4,10.35
-846.67969,117.67578,-517.57812,0.076474743,0.035972458,-0.017186781,-14.55,29.4,14.4,-398.92578,36.13281,934.57031,0.036771818,0.070079682,-0.084068845,85.65,4.95,75.6,-915.52734,95.70313,390.13672,0.1991806394290221,-0.093128674,0.074076486,59.25,23.4,10.35
-833.98437,129.39453,-509.76562,0.096459461,-0.017719804,0.008127126,-14.55,28.2,13.65,-396.97266,34.17969,936.52344,0.043433391,0.10951609443706539,-0.152816142,86.25,4.5,76.5,-911.62109,80.07813,391.60156,0.17866307234135234,-0.058088746,0.059687642,59.25,23.4,10.35
-846.19141,108.88672,-515.13672,0.10285452174805344,0.035039753661813756,0.000932704,-14.55,28.2,13.65,-397.94922,50.29297,945.80078,0.057689065897869374,0.043833071,-0.128967789,86.25,4.5,76.5,-926.75781,95.21484,395.50781,0.15228329336208404,-0.082070443,0.0167871,59.25,23.4,10.35
-835.9375,109.375,-506.34766,0.040102605,0.062219067971420655,-0.037438011,-14.55,28.2,13.65,-389.64844,59.57031,940.91797,0.04822973,0.029444054,-0.160810099,86.55,5.25,75.45,-906.25,74.21875,395.99609,0.1763981585710393,-0.059687642,0.074609509,60.9,24.3,9.75
-826.66016,118.16406,-513.67187,0.045964817,0.057555897,-0.05475796,-14.55,28.2,13.65,-404.78516,47.85156,932.61719,0.070346019,0.12470447318669564,-0.185058133,86.55,5.25,75.45,-926.26953,91.30859,402.83203,0.1957166844625889,-0.062618748,0.052359878,60.9,24.3,9.75
-836.42578,109.86328,-500,0.04956194,0.083003147,-0.078606488,-14.55,28.2,13.65,-406.73828,53.71094,915.52734,0.025447249559927724,0.073676805,-0.133097936,86.85,5.55,76.2,-923.82812,83.98438,399.41406,0.22649312236055613,-0.018252653,0.084601868,59.25,23.85,10.65
-836.91406,108.39844,-492.67578,0.080338378,0.044898944,-0.051427174,-15.6,27.15,14.1,-400.87891,55.17578,926.75781,0.065816192,0.017719804,-0.120974006,86.85,5.55,76.2,-919.43359,106.44531,413.57422,0.22396169681346356,0.002398082,0.033840712,59.25,23.85,10.65
-823.73047,110.35156,-507.8125,0.1353630243956998,0.024248034,-0.01079172,-15.6,27.15,14.1,-379.88281,72.75391,946.28906,0.026646290756047828,0.003996979,-0.165206758,86.85,5.55,76.2,-926.26953,94.23828,401.85547,0.18998781572584275,0.027179139776681696,0.050627813,58.35,25.5,11.55
-839.84375,102.05078,-513.18359,0.092062802,0.053292581512095656,-0.013323145,-14.25,28.95,13.05,-390.625,63.96484,955.56641,0.050894325,0.021716608283789844,-0.153882015,86.85,5.55,76.2,-919.43359,94.23828,410.64453,0.21423584955672517,-0.018652334,0.080072041,58.35,25.5,11.55
-820.3125,111.81641,-495.60547,0.077673784,0.079938698,-0.096192949,-14.25,28.95,13.05,-403.32031,55.17578,928.71094,0.048362899,0.057955578,-0.149352187,84.9,4.65,75.6,-920.41016,115.23438,396.48437,0.2295573969282826,0.008793318,0.041301645952119014,59.1,24.75,11.85
-814.94141,93.26172,-505.85937,0.081137739,0.092595651,-0.068480786,-14.85,28.8,13.95,-397.94922,85.9375,924.31641,0.072344596,0.086333759,-0.081803931,84.9,4.65,75.6,-918.45703,94.23828,405.27344,0.24088214,0.002664594,0.014389017952216851,59.1,24.75,11.85
-819.33594,88.37891,-512.20703,0.076075062,0.073010788,-0.068614129,-14.85,28.8,13.95,-401.85547,60.54688,916.99219,0.060886684,0.030776438,-0.102055161,85.05,4.8,75.75,-912.10937,124.51172,412.59766,0.21836599669864454,0.005062851,0.012790121824464847,59.1,24.75,11.85
-835.9375,89.84375,-515.625,0.14095872451051883,0.046497666,-0.035439434,-13.35,29.25,16.35,-412.10937,59.57031,916.50391,0.039569755735365045,-0.019718206,-0.100589608,85.05,4.8,75.75,-911.62109,96.67969,399.41406,0.20464317092191392,-0.006261892,-0.01505521,59.1,24.75,11.85
-840.82031,94.72656,-514.64844,0.073676805,0.077807127,-0.043033711,-13.35,29.25,16.35,-370.11719,77.63672,929.6875,0.010525208054151804,-0.001732065,-0.104053563,85.35,4.2,74.25,-912.10937,102.53906,400.87891,0.17733086252330507,0.011724423783197109,0.024248034,59.25,26.4,10.35
-816.89453,88.37891,-518.06641,0.132165407,0.05475796,-0.008659975,-13.35,29.25,16.35,-384.76562,74.70703,927.24609,0.045964817,0.031309286918601076,-0.106984669,85.35,4.2,74.25,-917.96875,114.74609,389.64844,0.20997235925995342,-0.029444054,0.013323145378023914,59.25,26.4,10.35
-830.56641,79.10156,-532.22656,0.078606488,0.0900644,-0.07500919,-13.35,29.25,16.35,-403.32031,93.26172,926.26953,0.027712163330240767,0.023582016188321384,-0.117509877,86.25,4.05,76.5,-921.38672,120.11719,414.55078,0.1841256038342442,-0.010525208,0.050094964,59.25,26.4,10.35
-832.03125,88.37891,-544.92187,0.10405356294417353,0.075142358,-0.086999951,-15.3,28.95,13.05,-409.66797,90.82031,923.33984,0.061952556,0.029177716,-0.089531376,86.25,4.05,76.5,-924.80469,134.27734,388.67187,0.2161010829283315,-0.030776438,0.067681425,59.25,26.4,10.35
-826.66016,92.28516,-523.92578,0.10978260621384492,0.10711783751189999,-0.069280321,-15.3,28.95,13.05,-412.10937,84.96094,936.03516,0.025713587,0.040768797,-0.076874423,85.5,4.5,75.45,-901.36719,126.46484,414.0625,0.17626498994911213,-0.048096562,0.068214448,59.25,26.4,10.35
-834.96094,81.54297,-528.32031,0.1099157748357721,0.12990049290280797,-0.043166879,-14.55,29.4,15.45,-419.92187,76.66016,931.15234,0.045431793,0.046631009,-0.107517692,85.5,4.5,75.45,-906.25,145.99609,411.13281,0.14855282661887137,-0.096459461,0.0223828,58.95,25.65,9.9
-830.07812,88.86719,-529.78516,0.084468525,0.041168477,-0.002131745,-14.55,29.4,15.45,-415.52734,90.33203,933.59375,0.016120908168970823,0.001199041,-0.073410468,87.15,3.45,75.6,-905.76172,117.67578,416.99219,0.1569464640575625,-0.092862163,0.031309286918601076,58.95,25.65,9.9
-844.72656,83.00781,-527.83203,0.15215012474015688,0.047830050019203804,-0.042767199,-13.8,28.8,13.5,-407.71484,97.16797,924.80469,0.023048992634762316,0.051827029,-0.121640199,87.15,3.45,75.6,-902.34375,146.97266,424.80469,0.1353630243956998,-0.087133294,-0.032241991,59.4,25.5,10.05
-840.82031,94.72656,-543.94531,0.14015918918018025,0.045032112695331694,-0.042367519,-13.8,28.8,13.5,-401.85547,81.05469,937.01172,-0.0111914,0.036904987,-0.111114816,87.15,3.45,75.6,-913.57422,133.78906,407.22656,0.1763981585710393,-0.029177716,0.019718206290256335,59.4,25.5,10.05
-835.9375,98.14453,-539.55078,0.094194547,0.11271371215964421,-0.077274104,-13.8,28.8,13.5,-422.36328,83.49609,933.10547,-0.022915824,0.061819213039788753,-0.120041302,87.15,3.45,75.6,-912.10937,114.74609,407.22656,0.1370949146124538,-0.018652334,0.012390441425758144,59.1,24.75,10.5
-820.3125,93.75,-533.20312,0.10418690609902591,0.11337972980220523,-0.051960197,-13.8,28.8,13.5,-422.85156,84.96094,903.80859,-0.006528404,0.039436413,-0.103787051,87.15,3.45,75.6,-905.27344,144.04297,409.17969,0.14575488929499925,-0.072078084,0.017186780743163762,59.1,24.75,10.5
-824.21875,86.42578,-539.55078,0.079006168,0.11950845347058334,-0.099923416,-14.85,29.55,13.2,-438.96484,70.3125,903.80859,-0.006261892,0.050627813,-0.09179629,86.55,3.3,75.75,-916.01562,137.69531,416.01562,0.16027725040206847,-0.040102605,0.009459335,60.6,25.05,11.25
-814.94141,96.67969,-539.0625,0.11870909267316991,0.050761156,-0.073810149,-14.85,29.55,13.2,-434.08203,66.89453,901.36719,-0.013456314,0.043300222,-0.048362899,86.55,3.3,75.75,-907.71484,139.16016,407.22656,0.13922665976083967,-0.02757882,0.034640073,60.6,25.05,11.25
-805.66406,96.67969,-541.50391,0.14908567563950523,0.084601868,-0.025580418,-15.15,27.3,16.35,-431.15234,70.80078,910.64453,0.00985919,0.035439434,-0.068614129,86.7,4.2,76.05,-923.33984,133.78906,402.83203,0.1460214010717788,-0.083136315,0.002398082,59.25,25.35,9.9
-820.80078,102.53906,-538.57422,0.10924958266028587,0.045165456,-0.047963219,-15.15,27.3,16.35,-435.05859,64.45313,919.92187,0.004663171,0.020117887,-0.057422729,86.7,4.2,76.05,-931.64062,130.85937,400.39062,0.10898307088350632,-0.067947937,-0.023848353,59.25,25.35,9.9
-803.71094,93.26172,-528.32031,0.049961795,0.1464210814704855,-0.104320075,-14.85,27.75,13.95,-432.61719,67.38281,920.41016,-0.012523785,0.042367519,-0.047696707,85.8,4.05,75.15,-917.48047,130.85937,407.22656,0.10205516095064003,-0.087799312,0.083402827,58.35,24.3,8.4
-805.66406,89.84375,-534.66797,0.031176118,0.1248376418086228,-0.110315455,-14.85,27.75,13.95,-437.98828,59.08203,940.91797,-0.058222089,0.028777861371508503,-0.039702924,85.8,4.05,75.15,-926.26953,129.39453,405.76172,0.11204751998415798,-0.065816192,0.044365921,58.35,24.3,8.4
-816.40625,87.40234,-532.71484,0.012390441425758144,0.10312103352483297,-0.072611107,-13.5,28.2,14.7,-434.57031,66.89453,943.35937,-0.011324569,0.021583439661862675,-0.023981697,87.15,3.45,76.35,-925.78125,110.35156,429.6875,0.14682076186919218,-0.104320075,0.044499264,58.35,24.3,8.4
-810.05859,85.9375,-529.78516,0.070612531,0.11457894553125055,0.018652334,-13.5,28.2,14.7,-420.41016,59.57031,911.62109,0.007327765,0.038104203,-0.048362899,87.15,3.45,76.35,-929.19922,124.51172,422.36328,0.14668759324726502,-0.061686044,0.03877022,58.35,24.3,8.4
-811.03516,77.14844,-538.08594,0.033041352,0.073010788,0.004263316,-13.5,28.2,14.7,-436.52344,78.125,929.6875,-0.018252653,-0.016120908,-0.075542039,86.7,2.7,75.6,-942.38281,108.39844,409.17969,0.10565245907192554,-0.029044373,0.025047394628295826,59.25,24.9,9.6
-814.45312,70.3125,-547.36328,0.045831473,0.091929633,-0.018652334,-13.5,28.2,14.7,-433.10547,69.82422,934.57031,-0.019984718,-0.05475796,-0.065549854,86.7,2.7,75.6,-941.40625,125,407.71484,0.083003147,0.036238969,0.081137739,59.25,24.9,9.6
-833.00781,83.00781,-548.33984,0.003330786,0.1163108357480045,-0.029843734,-16.2,28.8,13.5,-416.99219,68.84766,941.40625,-0.03144263,-0.028911205,-0.02757882,86.4,3.45,76.05,-947.26562,121.09375,399.41406,0.12030781426799673,-0.019052014,0.063950958,58.5,25.35,10.35
-828.125,75.19531,-563.47656,-0.00039968,0.13696174599052663,-0.032241991,-16.2,28.8,13.5,-423.33984,68.84766,922.36328,-0.01638742,-0.01079172,0.004396659,86.4,3.45,76.05,-935.54687,110.35156,388.67187,0.13429715182150687,0.003463955,0.066215872,58.5,25.35,10.35
-827.14844,84.96094,-559.57031,0.001865233,0.10831705324094529,-0.088998527,-15.3,26.7,14.1,-418.94531,63.96484,918.94531,-0.077140935,0.008793318,-0.005329188,86.4,3.45,76.05,-939.94141,115.23438,400.39062,0.068081105,-0.056090344,0.043699902877284424,60.15,24,10.05
-833.49609,57.12891,-558.10547,0.077140935,0.066482384,-0.023182161,-15.3,26.7,14.1,-437.01172,33.20313,895.99609,-0.011857592,-0.019851375,-0.006661573,86.4,3.45,76.05,-948.73047,135.25391,402.83203,0.072344596,-0.006395061,0.042367519,60.15,24,10.05
-830.56641,66.40625,-586.91406,0.015454890526409788,0.071545235,-0.048096562,-15,27.45,13.65,-437.5,65.42969,909.66797,-0.019185357,-0.082869804,-0.07500919,86.25,4.5,74.7,-945.80078,123.53516,421.875,0.063551278,0.016653931722529894,0.02198312,60.9,25.8,11.25
