Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
756037,-3.90625,0.97656,1012.69531,825.19531,270.50781,-364.25781,80.07813,-14.64844,1012.20703
761040,9.76562,-5.37109,1023.4375,816.89453,287.10937,-361.32812,83.98438,-20.50781,1017.57812
766042,11.71875,3.41797,1018.55469,823.24219,279.78516,-368.16406,71.28906,-16.11328,1017.08984
771048,2.44141,-2.44141,1015.625,829.10156,263.67187,-362.79297,71.28906,-18.06641,1020.01953
776060,-11.71875,-6.34766,1028.80859,828.125,260.25391,-374.02344,62.98828,-20.99609,1019.04297
781069,1.46484,2.44141,1020.99609,835.9375,267.08984,-364.25781,64.94141,-15.625,1020.50781
786077,5.37109,-3.90625,1016.60156,854.98047,269.53125,-364.74609,79.58984,-17.57813,1019.04297
791084,-9.76562,-8.78906,1015.13672,864.25781,278.32031,-366.69922,62.98828,-13.67187,1013.67187
796085,7.32422,-20.99609,1035.15625,876.95312,293.45703,-372.07031,75.68359,-27.34375,1019.04297
801087,5.85937,-2.44141,1020.01953,869.62891,300.29297,-383.78906,75.68359,-17.57813,1007.32422
806089,8.30078,5.37109,1016.60156,873.04687,308.59375,-390.625,77.14844,-17.08984,1013.18359
811096,-6.83594,10.25391,1012.20703,900.39062,310.54687,-374.51172,70.3125,-21.48438,1010.74219
816094,0.97656,-2.92969,1025.39063,903.80859,329.58984,-377.44141,65.42969,-31.25,1012.20703
821100,9.27734,0.0,1028.80859,886.71875,300.78125,-368.65234,70.3125,-19.04297,1014.64844
826103,-5.37109,2.44141,1027.34375,887.20703,284.17969,-359.375,67.87109,-16.60156,1017.08984
831101,9.76562,5.85937,1015.13672,897.94922,294.43359,-375.97656,67.87109,-10.74219,1014.16016
836111,-7.32422,4.88281,1012.69531,923.82812,331.54297,-371.09375,63.47656,-3.41797,1025.39063
841116,16.60156,0.0,1014.16016,904.29687,333.49609,-356.93359,68.35938,-12.69531,1031.25
846115,-4.88281,5.85937,1009.76562,877.92969,319.82422,-364.74609,65.42969,-16.11328,1004.39453
851117,-3.41797,0.97656,1012.20703,908.20312,301.75781,-361.81641,89.35547,-23.4375,1007.8125
856116,-2.44141,-4.39453,1012.20703,893.55469,299.80469,-371.58203,64.94141,-9.76562,1005.85937
861115,-14.64844,-10.25391,1016.11328,895.01953,315.91797,-379.88281,72.75391,-24.90234,996.09375
866117,3.41797,12.20703,1012.69531,877.44141,322.26562,-369.62891,75.68359,-17.08984,1014.64844
871116,-10.25391,1.95312,1022.94922,888.18359,295.89844,-371.58203,75.68359,-4.39453,1027.83203
876115,-12.20703,2.44141,1020.99609,883.30078,277.83203,-375.48828,65.91797,-10.74219,1021.48437
881117,-11.71875,-2.92969,1004.88281,877.92969,283.20312,-391.60156,72.75391,-19.04297,1015.625
886116,4.39453,-5.37109,1015.13672,877.44141,292.48047,-388.67187,80.07813,-22.46094,1007.8125
891115,6.83594,2.92969,1017.08984,867.67578,291.01562,-367.1875,69.82422,-21.48438,1010.74219
896117,-9.27734,8.78906,1024.41406,864.74609,269.04297,-381.83594,74.21875,-1.46484,1019.04297
901116,-9.76562,6.34766,1021.97266,866.69922,266.60156,-374.51172,77.63672,-19.04297,1009.76562
906115,-2.44141,-6.34766,1009.76562,863.28125,269.53125,-375.0,72.26563,-9.76562,1028.32031
911117,-19.04297,-6.83594,1014.64844,860.35156,269.04297,-368.16406,75.68359,-19.04297,1022.94922
916116,-1.46484,12.20703,1020.99609,917.48047,139.16016,-431.15234,75.19531,-23.92578,1020.01953
921115,-0.97656,4.88281,1019.04297,1060.54688,-38.57422,-534.17969,62.01172,-6.83594,1020.50781
926117,5.85937,-5.37109,1019.53125,1190.91797,87.89063,-518.06641,91.79688,-31.25,1021.48437
931116,1.46484,1.95312,1017.08984,1010.25391,128.41797,-470.70312,65.42969,-22.94922,1006.34766
936116,2.44141,7.8125,1017.57812,665.52734,270.01953,-371.58203,76.66016,-9.76562,1019.04297
941117,-15.625,4.39453,1013.67187,1051.75781,516.60156,-292.48047,80.07813,-16.11328,1029.78516
946116,-12.69531,6.34766,1011.71875,791.50391,62.98828,-291.50391,83.98438,-7.8125,1036.62109
951115,11.71875,13.67187,1025.39063,1002.92969,-98.63281,-355.95703,78.125,-9.76562,997.55859
956117,-11.71875,8.78906,1009.76562,744.14062,535.64453,47.85156,92.77344,-14.64844,998.53516
961116,-17.57813,-9.27734,1019.53125,827.14844,1136.23047,15.13672,82.51953,-15.13672,1011.23047
966115,6.34766,4.39453,1025.87891,1097.16797,128.90625,-226.07422,59.08203,-15.13672,1019.53125
971116,7.8125,0.48828,1022.46094,1078.125,114.25781,-244.62891,68.35938,-20.99609,1014.16016
976116,-2.92969,6.83594,1010.25391,1144.04297,112.30469,-171.875,83.49609,-11.71875,1020.50781
981115,6.83594,4.88281,1018.06641,1999.93896,7.8125,-222.65625,63.47656,-16.60156,1001.95312
986117,0.0,4.39453,1025.87891,809.08203,46.875,-112.79297,76.17188,-26.36719,1000.0
991116,-9.76562,-13.18359,1020.50781,585.9375,-328.125,-395.01953,119.14063,2.44141,1009.27734
996115,10.74219,-3.41797,1019.04297,990.72266,-78.61328,-231.93359,85.44922,-5.85937,1032.22656
1001117,1.46484,-23.4375,1025.87891,1112.30469,-259.76562,-309.57031,146.97266,9.27734,1013.67187
1006116,-16.11328,-28.80859,1004.39453,772.94922,-283.69141,-375.48828,82.51953,9.27734,1050.78125
1011115,-20.01953,0.0,1029.78516,1089.35547,-14.16016,-255.85937,29.78516,-41.99219,985.35156
1016116,-8.78906,13.18359,1026.36719,1013.18359,225.09766,-218.26172,33.20313,-28.32031,1004.39453
1021116,12.20703,41.99219,1025.87891,1128.90625,309.08203,-217.28516,68.84766,-15.625,1023.92578
1026115,7.32422,38.08594,1016.11328,1239.74609,344.72656,-197.26562,67.87109,-23.4375,1020.99609
1031117,-8.30078,9.27734,1007.8125,1286.13281,369.62891,-208.00781,60.05859,-11.23047,998.04687
1036116,-13.18359,7.8125,1040.52734,1418.45703,417.96875,-163.08594,53.22266,-23.4375,1003.41797
1041115,-20.50781,1.46484,1021.97266,1459.96094,478.02734,-145.01953,44.92188,-16.11328,1003.41797
1046117,17.08984,13.18359,1020.50781,1456.54297,599.60937,-151.36719,54.19922,-15.13672,1006.34766
1051116,24.41406,3.41797,1029.29688,1479.00391,703.61328,-171.875,71.28906,-1.95312,1066.40625
1056115,-8.78906,26.36719,1025.39063,1398.92578,736.81641,-218.26172,72.75391,-32.71484,1022.46094
1061116,-0.97656,4.88281,1015.625,1362.30469,739.25781,-255.37109,50.78125,-35.15625,1013.67187
1066116,-6.34766,2.44141,1022.94922,1318.84766,721.67969,-274.90234,105.95703,-20.50781,1000.48828
1071115,-8.78906,-12.69531,1019.04297,1337.40234,708.98437,-272.46094,82.51953,-17.57813,1001.46484
1076117,-8.30078,3.90625,1025.87891,1384.76563,686.52344,-243.16406,67.38281,-24.41406,994.14062
1081116,-15.13672,6.83594,1014.16016,1404.78516,789.55078,-179.6875,77.63672,-18.55469,1040.52734
1086115,-12.69531,-13.67187,1018.55469,1463.86719,890.625,-128.90625,90.82031,-20.50781,1016.60156
1091117,5.85937,-9.27734,1022.94922,1425.29297,928.22266,-114.25781,88.86719,-5.85937,1035.15625
1096116,1.46484,-13.67187,1023.92578,1478.02734,823.24219,-168.94531,78.61328,-12.20703,1016.60156
1101115,-1.95312,-4.88281,1019.04297,1490.23438,531.25,-235.35156,88.37891,-18.06641,998.04687
1106117,-5.37109,-5.85937,1022.94922,1465.33203,227.53906,-284.17969,75.68359,-14.64844,999.51172
1111116,-4.39453,-7.32422,1017.57812,1430.17578,-107.91016,-332.51953,71.28906,-20.99609,1004.39453
1116116,-2.44141,11.71875,1026.85547,1426.75781,-264.64844,-306.64062,62.98828,-27.83203,1011.71875
1121117,-0.97656,-1.95312,1001.46484,1316.89453,-325.68359,-263.67187,69.33594,-20.01953,1021.48437
1126116,0.0,-2.92969,1025.87891,1417.96875,-396.97266,-206.54297,86.91406,-8.78906,1041.50391
1131115,5.85937,-3.41797,1038.57422,1551.26953,-452.14844,-142.08984,57.12891,-12.69531,1040.03906
1136117,7.8125,6.34766,1021.97266,1635.25391,-454.10156,-82.51953,0.0,-1.95312,999.02344
1141114,3.90625,7.8125,1010.74219,1680.66406,-489.74609,-16.60156,47.85156,-46.38672,1009.27734
1146115,-4.88281,14.64844,1005.85937,1494.14063,-545.89844,26.36719,67.38281,-9.76562,1035.15625
1151117,-5.37109,5.85937,1025.87891,1519.04297,-571.77734,45.89844,79.58984,6.34766,1025.87891
1156116,14.16016,8.30078,1024.41406,1426.26953,-613.28125,82.03125,60.54688,-25.39063,993.16406
1161115,8.78906,4.88281,1011.71875,1607.91016,-643.06641,37.59766,46.875,-36.62109,1018.55469
1166117,9.27734,3.41797,1019.53125,1490.72266,-655.27344,39.55078,73.73047,-9.76562,1026.36719
1171116,-2.92969,12.69531,1020.50781,1389.16016,-683.10547,-6.83594,93.26172,-9.76562,1002.92969
1176115,-2.92969,0.97656,1019.53125,1161.13281,-675.78125,-32.71484,62.01172,-31.25,1019.53125
1181117,1.46484,-10.74219,1009.76562,1310.54688,-666.99219,-114.74609,66.89453,-10.25391,1031.25
1186116,-8.78906,-10.25391,1031.25,950.19531,-667.96875,-220.21484,82.51953,-11.71875,1011.23047
1191115,-4.88281,-7.8125,1024.90234,1261.71875,-555.66406,-294.43359,66.89453,-24.41406,1001.46484
1196117,-2.92969,-4.88281,1022.46094,1615.23438,-462.89062,-333.98437,75.19531,-13.67187,1028.32031
1201116,-7.32422,-10.25391,1025.87891,1754.39453,-374.02344,-337.89062,82.51953,1.46484,1000.0
1206115,-12.20703,2.44141,1029.29688,1306.15234,-285.15625,-380.85937,73.73047,-17.57813,1009.27734
1211117,8.78906,-6.34766,1020.01953,1005.37109,-109.375,-423.33984,83.00781,-4.88281,1020.50781
1216116,3.90625,3.90625,1013.67187,1242.67578,205.56641,-371.09375,83.49609,-10.74219,1022.46094
1221115,-2.92969,-9.76562,1014.64844,1261.71875,402.83203,-337.40234,74.21875,-20.50781,1010.25391
1226117,-0.97656,6.34766,1017.57812,1105.95703,486.32812,-366.69922,65.91797,-29.29688,1012.69531
1231116,-1.95312,20.50781,1019.04297,1153.32031,548.33984,-346.67969,62.98828,-12.69531,1009.76562
1236115,-10.25391,6.34766,1010.74219,1183.10547,569.33594,-364.74609,69.33594,-12.20703,1014.64844
1241117,-10.74219,1.46484,1022.46094,1253.90625,617.67578,-386.71875,79.10156,-23.92578,1012.69531
1246116,0.97656,16.11328,1027.83203,1228.51563,608.88672,-433.10547,64.45313,-16.60156,1010.25391
1251115,-1.95312,12.20703,1022.46094,1220.70313,567.87109,-508.78906,70.3125,-8.78906,1010.25391
1256117,-4.39453,10.74219,1015.13672,1363.28125,449.21875,-584.96094,67.38281,-22.94922,1014.64844
1261116,1.46484,4.39453,1024.41406,1616.21094,245.60547,-684.57031,71.28906,-13.18359,1023.4375
1266115,-1.95312,-0.97656,1025.39063,1587.89063,-84.96094,-826.66016,62.98828,-14.64844,1014.64844
1271117,-3.90625,-4.88281,1023.4375,1445.3125,-354.98047,-967.77344,70.80078,-11.71875,1021.48437
1276116,1.95312,8.30078,1024.41406,1353.02734,-531.25,-1025.39063,65.91797,-17.57813,1008.30078
